sample_id,dsid,file,filename,descriptor,generator,simulation_config,xsec_pb,k_factor,filter_eff,sumw,sumw2,num_events,entries,effective_lumi_fb
410396,410396,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410396.MGH7EG_H7UE_ttgamma_allhadronic.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410396.MGH7EG_H7UE_ttgamma_allhadronic.GamGam.root,MGH7EG_H7UE_ttgamma_allhadronic,MGH7EG,H7UE_ttgamma_allhadronic,3.6279,1.0,1.0,1087613.75,3943109.75,300000,5149,299.791546073486
410408,410408,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410408.aMcAtNloPythia8EvtGen_tWZ_Ztoll_minDR1.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410408.aMcAtNloPythia8EvtGen_tWZ_Ztoll_minDR1.GamGam.root,aMcAtNloPythia8EvtGen_tWZ_Ztoll_minDR1,aMcAtNloPythia8EvtGen,tWZ_Ztoll_minDR1,0.016071,1.0,1.0,486.186371,25.635645,30000,116,30.25240314852841
410470,410470,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410470.PhPy8EG_A14_ttbar_hdamp258p75_nonallhad.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410470.PhPy8EG_A14_ttbar_hdamp258p75_nonallhad.GamGam.root,PhPy8EG_A14_ttbar_hdamp258p75_nonallhad,PhPy8EG,A14_ttbar_hdamp258p75_nonallhad,729.77,1.139756,0.543797,24014984448.0,17816963448832.0,32890000,34778,53094.26452073212
410471,410471,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410471.PhPy8EG_A14_ttbar_hdamp258p75_allhad.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410471.PhPy8EG_A14_ttbar_hdamp258p75_allhad.GamGam.root,PhPy8EG_A14_ttbar_hdamp258p75_allhad,PhPy8EG,A14_ttbar_hdamp258p75_allhad,729.77,1.139741,0.456207,12684451736.0,9410150187008.0,17371000,19874,33428.55300408657
410560,410560,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410560.MadGraphPythia8EvtGen_A14_tZ_4fl_tchan_noAllHad.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410560.MadGraphPythia8EvtGen_A14_tZ_4fl_tchan_noAllHad.GamGam.root,MadGraphPythia8EvtGen_A14_tZ_4fl_tchan_noAllHad,MadGraphPythia8EvtGen,A14_tZ_4fl_tchan_noAllHad,0.24041,1.0,1.0,5.652136,0.000247,129200,150,0.02351040306143671
410644,410644,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410644.PowhegPythia8EvtGen_A14_singletop_schan_lept_top.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410644.PowhegPythia8EvtGen_A14_singletop_schan_lept_top.GamGam.root,PowhegPythia8EvtGen_A14_singletop_schan_lept_top,PowhegPythia8EvtGen,A14_singletop_schan_lept_top,2.027,1.017,1.0,365019.09375,742686.25,180000,60,177.06832575860105
410645,410645,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410645.PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410645.PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop.GamGam.root,PowhegPythia8EvtGen_A14_singletop_schan_lept_antitop,PowhegPythia8EvtGen,A14_singletop_schan_lept_antitop,1.2674,1.0167,1.0,152312.890625,195374.25,120000,36,118.20344496940544
410658,410658,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410658.PhPy8EG_A14_tchan_BW50_lept_top.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410658.PhPy8EG_A14_tchan_BW50_lept_top.GamGam.root,PhPy8EG_A14_tchan_BW50_lept_top,PhPy8EG,A14_tchan_BW50_lept_top,36.996,1.1935,1.0,124412666.0,4978964864.0,3360000,1055,2817.652316537985
410659,410659,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_410659.PhPy8EG_A14_tchan_BW50_lept_antitop.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_410659.PhPy8EG_A14_tchan_BW50_lept_antitop.GamGam.root,PhPy8EG_A14_tchan_BW50_lept_antitop,PhPy8EG,A14_tchan_BW50_lept_antitop,22.173,1.1849,1.0,44399908.0,1041649152.0,2000000,627,1689.9580092903504
411233,411233,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_411233.PowhegHerwig7EvtGen_tt_hdamp258p75_713_SingleLep.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_411233.PowhegHerwig7EvtGen_tt_hdamp258p75_713_SingleLep.GamGam.root,PowhegHerwig7EvtGen_tt_hdamp258p75_713_SingleLep,PowhegHerwig7EvtGen,tt_hdamp258p75_713_SingleLep,730.15,1.0,0.438485,4753030112.0,3525981798400.0,6509000,5710,14845.804420973369
